goos: darwin
goarch: arm64
pkg: github.com/architagr/lognugget/config
cpu: Apple M1 Pro
BenchmarkPublishLog-8                       	10723788	       137.1 ns/op	      39 B/op	       1 allocs/op
BenchmarkPublishLog-8                       	12579357	       118.0 ns/op	      39 B/op	       1 allocs/op
BenchmarkPublishLog-8                       	10483316	       106.6 ns/op	      39 B/op	       1 allocs/op
BenchmarkPublishLog-8                       	12010644	        98.35 ns/op	      39 B/op	       1 allocs/op
BenchmarkPublishLog-8                       	12156986	       103.3 ns/op	      39 B/op	       1 allocs/op
BenchmarkPublishLog-8                       	12183013	       100.3 ns/op	      39 B/op	       1 allocs/op
BenchmarkPublishLog-8                       	12566898	        97.02 ns/op	      39 B/op	       1 allocs/op
BenchmarkPublishLog-8                       	11538854	       122.9 ns/op	      40 B/op	       2 allocs/op
BenchmarkPublishLog-8                       	12170816	       118.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkPublishLog-8                       	 9330645	       114.1 ns/op	      39 B/op	       1 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6098 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6263 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6139 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6250 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6155 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6698 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6525 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6572 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHotSnapshot-8                   	1000000000	         0.6077 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	543058095	         2.221 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	540107582	         2.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	535740194	         2.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	543725436	         2.220 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	536491879	         2.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	543728000	         2.217 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	544513813	         2.215 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	539203968	         2.263 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	542945785	         2.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendQuotedLevel_Named-8          	544271577	         2.209 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	11586519	        91.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	12805286	        94.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	12593625	        91.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	13368822	        94.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	13435392	        92.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	11756359	        91.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	13270543	        91.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	13299916	        90.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	10980513	        97.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Push-8                  	13211233	        91.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	54334188	        22.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	53775588	        22.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	54145006	        22.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	54109808	        22.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	53901192	        22.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	54068259	        22.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	54244336	        22.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	53382663	        22.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	51966891	        22.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Str-8                   	53692377	        23.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        11.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        10.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        12.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        10.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        10.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        11.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100823222	        10.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        10.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        10.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendAttr_Int-8                   	100000000	        10.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendField_IntLegacy-8            	100000000	        10.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.5813 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.5910 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.5864 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.6820 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.5960 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.5794 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.7958 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.6198 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.5975 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_FilteredPath-8            	1000000000	         0.6103 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_HotPath_NoCtx-8           	1000000000	         0.6489 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_HotPath_NoCtx-8           	1000000000	         0.6390 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_HotPath_NoCtx-8           	1000000000	         0.6364 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogEntry_HotPath_NoCtx-8           	1000000000	         0.6262 ns/op	       0 B/op	       0 allocs/op
